id,dgo_geomorph,dgo_veg,dgo_hydro,dgo_impacts,dgo_beaver,dgos,dgo_desc,dgos_poly_count,all_equal
1012010102,19929,19929,19929,19929,19929,22839,19929,20864,False
1012010301,17980,17980,17980,17980,17980,20103,17980,19073,False
1012010403,18463,18463,18463,18463,18463,22970,18463,19529,False
1012010701,11260,11260,11260,11260,11260,12216,11260,11592,False
1012010604,9327,9327,9327,9327,9327,10771,9327,9853,False
1012010402,10326,10326,10326,10326,10326,12795,10326,10799,False
1012010802,9812,9812,9812,9812,9812,12165,9812,10255,False
1012011208,8901,8901,8901,8901,8901,10598,8901,9332,False
1012010705,8523,8523,8523,8523,8523,9395,8523,8746,False
1012010906,7347,7347,7347,7347,7347,8220,7347,7568,False
1012011306,5240,5240,5240,5240,5240,6411,5240,5517,False
1012011206,4719,4719,4719,4719,4719,5501,4719,4930,False
1012011109,4756,4756,4756,4756,4756,5447,4756,4934,False
1012010902,4164,4164,4164,4164,4164,4547,4164,4251,False
1012010302,31832,31832,31832,31832,31832,37288,31832,34230,False
1012010304,32006,32006,32006,32006,32006,36941,32006,33943,False
1012010103,30406,30406,30406,30406,30406,34364,30406,32370,False
1012010702,29543,29543,29543,29543,29543,32953,29543,31009,False
1012010803,12741,12741,12741,12741,12741,14739,12741,13508,False
1012010801,13776,13776,13776,13776,13776,16562,13776,14544,False
1012010603,7303,7303,7303,7303,7303,8117,7303,7499,False
1012010303,21337,21337,21337,21337,21337,25216,21337,22964,False
1012010202,16747,16747,16747,16747,16747,19060,16747,17768,False
1012010504,16366,16366,16366,16366,16366,18930,16366,17233,False
1012010501,13518,13518,13518,13518,13518,15406,13518,14414,False
1012010101,13975,13975,13975,13975,13975,15556,13975,14531,False
1012010305,14041,14041,14041,14041,14041,17670,14041,14926,False
1012010704,13432,13432,13432,13432,13432,15767,13432,14166,False
1012010703,13141,13141,13141,13141,13141,13899,13141,13356,False
1012010605,13106,13106,13106,13106,13106,15378,13106,13708,False
1012010601,12075,12075,12075,12075,12075,14616,12075,12835,False
1012010401,9923,9923,9923,9923,9923,12024,9923,10353,False
1012011202,10250,10250,10250,10250,10250,11920,10250,10706,False
1012010602,9589,9589,9589,9589,9589,11255,9589,10159,False
1012010905,7896,7896,7896,7896,7896,9443,7896,8274,False
1012010201,11893,11893,11893,11893,11893,13252,11893,12322,False
1012011311,6782,6782,6782,6782,6782,7885,6782,7101,False
1012010910,5555,5555,5555,5555,5555,6453,5555,5764,False
1012010502,5404,5404,5404,5404,5404,6375,5404,5619,False
1012011003,6122,6122,6122,6122,6122,7025,6122,6359,False
1012011104,5494,5494,5494,5494,5494,6237,5494,5672,False
1012011105,5784,5784,5784,5784,5784,6539,5784,5987,False
